Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-10-04 09:25:26,,,3.089583,OSMO,,,,,staking,,6C4075666E80B07F2CA40FDF7E8567C8D18B0F379AC32F5F98FE13363855D4CC-0
2021-10-04 09:20:06,,,65.568791,JUNO,,,,,,,5FAA701327D5459DA1A99F86CFFEB080AC8D87FDD372C6058B78266F3DBA127B-2
2021-10-03 17:00:00,,,1.326964,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-03.OSMO
2021-10-02 19:28:08,,,24.049578,OSMO,,,,,staking,,12E00292E6AE57172D4F9B2F12EA79764E291801EC393AF38B581D45E2F78AB9-0
2021-10-02 17:00:00,,,1.328385,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-02.OSMO
2021-10-01 17:00:00,,,1.337138,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-01.OSMO
2021-09-30 17:00:00,,,1.404567,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-30.OSMO
2021-09-29 17:00:00,,,1.429217,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-29.OSMO
2021-09-28 17:00:00,,,1.429968,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-28.OSMO
2021-09-27 17:00:00,,,1.432274,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-27.OSMO
2021-09-26 17:00:00,,,1.424744,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-26.OSMO
2021-09-25 17:00:00,,,1.451567,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-25.OSMO
2021-09-24 18:07:14,,,8.6516,OSMO,,,,,staking,,B6E4F48FC0CBC2C4DBF9E0678EE094970F9F93B4C43504C2918AE6B368E19780-0
2021-09-24 17:00:00,,,1.456304,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-24.OSMO
2021-09-23 17:00:00,,,1.524646,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-23.OSMO
2021-09-22 17:41:34,8.04626,ATOM,,,,,,,,,19FFA603B9477CA2B8D6B4B1CFAEE60357C2600E6F69402DCCB5F8DDBD54C2B1-0
2021-09-22 17:15:53,8.888436,OSMO,1.464604,ATOM,,,,,,,CADFDF7F7531116AE4D414469658189E90A4CC8D1CF6A40B86F70169140E8BA5-0
2021-09-22 17:15:24,4300.253882,DVPN,4.814119,ATOM,,,,,,,07B4C30A6865D026956243F15CAAF5DDA77924DF042A0AC23612AE2577CC4516-0
2021-09-22 17:14:32,14.488491,AKT,1.767537,ATOM,,,,,,,7E611D8886C2D894FD48D1B22F164CF67784152B76444E4240734EDA8CE1148B-0
2021-09-22 17:13:31,,,4300.253882,DVPN,,,,,,,A953CD6A2A4125872156FF390D2FAE678F93343376E7FF91556375949A544D85-1
2021-09-22 17:11:50,,,14.488491,AKT,,,,,,,92BB38610A242C5D4E9FA8E8FA74C6788198E12D4821E2D78078566A38A13428-1
2021-09-22 17:10:16,,,5.854132,OSMO,,,,,staking,,AD7D6B4C0819DB0C76A9EE98B238A49E6187044CAE4C078BDDB4D19A16331BB7-0
2021-09-22 17:00:00,,,1.519514,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-22.OSMO
2021-09-21 17:00:00,,,1.52966,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-21.OSMO
2021-09-20 17:00:00,,,1.520894,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-20.OSMO
2021-09-19 20:16:04,2.325245,ATOM,,,,,,,,,41A2BD13D80587E654334E63883DEFABB96BA5A5597868ADE2395B9F6145AB84-0
2021-09-19 20:13:53,13.389345,OSMO,2.325245,ATOM,,,,,,,7EAC5483531ADFB36ADCF69A26A5A5D5A0485ECF2A51A27C9961D649E2712641-0
2021-09-19 20:13:09,,,8.863707,OSMO,,,,,staking,,DB6B22D4FE8BD2DA4FF69B56C0FF8A5321F92819DCCAAD6E9A64C15FE05B1222-0
2021-09-19 17:00:00,,,1.520501,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-19.OSMO
2021-09-18 17:00:00,,,1.517208,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-18.OSMO
2021-09-17 17:00:00,,,1.504794,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-17.OSMO
2021-09-16 18:26:42,,,0.000014000,OSMO,,,,,staking,,97D7BE6F409516726C3AB604A3D9635D0552A91C89731309C03A232DD77D86BA-0
2021-09-16 18:26:04,,,11.692107,OSMO,,,,,staking,,39ACF8B385E42019AECC4F407541804F8125091E52CBAE70BB6CDB0D61A425FE-0
2021-09-16 17:00:00,,,1.614029,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-16.OSMO
